Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
09-NOV-2023,43626.1,43876.75,43542.65,43683.6,108890302,5404.57
10-NOV-2023,43543.25,43908.7,43504.95,43820.1,89974914,4066.49
12-NOV-2023,44054.5,44056.0,43916.6,43996.65,26541813,876.91
13-NOV-2023,43915.1,43970.75,43681.4,43891.25,169596833,6306.65
15-NOV-2023,44398.45,44408.55,44164.55,44201.7,202535584,9618.46
16-NOV-2023,44251.7,44420.95,44064.15,44161.55,144312535,7219.22
17-NOV-2023,43656.25,43872.85,43513.85,43583.95,227415842,9025.22
20-NOV-2023,43591.5,43724.0,43450.05,43584.95,124319579,5666.42
21-NOV-2023,43790.95,43790.95,43586.45,43689.15,108196578,5746.35
22-NOV-2023,43663.6,43692.5,43230.95,43449.6,150863505,7329.92
23-NOV-2023,43452.75,43649.65,43451.35,43577.5,72280382,3834.27
24-NOV-2023,43607.35,43806.5,43566.15,43769.1,96846530,4775.9
28-NOV-2023,43851.55,43960.3,43739.8,43880.95,151249387,7047.12
29-NOV-2023,44081.75,44630.35,44003.45,44566.45,152338716,7734.64
30-NOV-2023,44711.2,44764.8,44254.6,44481.75,343168253,21570.23
01-DEC-2023,44580.15,44951.1,44531.75,44814.2,204927587,8180.31
04-DEC-2023,45671.5,46484.45,45484.2,46431.4,311170393,14550.11
05-DEC-2023,46895.9,47230.55,46653.65,47012.25,326064098,15573.44
06-DEC-2023,47256.75,47259.85,46750.2,46834.55,244245159,10666.48
07-DEC-2023,46735.4,46927.7,46507.15,46841.4,208148115,6747.85
08-DEC-2023,46797.2,47303.65,46793.9,47262.0,218254038,9180.03
11-DEC-2023,47233.3,47588.0,47186.6,47314.25,182500023,7276.41
12-DEC-2023,47421.7,47454.0,47004.05,47097.55,181986087,8796.84
13-DEC-2023,47190.75,47201.95,46886.9,47092.25,202304718,8905.84
14-DEC-2023,47567.65,47943.6,47510.85,47732.3,193093079,9839.45
15-DEC-2023,47939.9,48219.95,47632.85,48143.55,313865426,20163.08
18-DEC-2023,48068.5,48076.6,47806.7,47867.7,157255424,6762.4
19-DEC-2023,47940.4,48017.0,47646.05,47870.9,189789200,7801.73
20-DEC-2023,48085.35,48166.15,47202.65,47445.3,242487993,10779.73
21-DEC-2023,47172.45,47932.4,46919.7,47840.15,207998676,10008.37
22-DEC-2023,47837.75,48071.4,47415.85,47491.85,165824495,10615.92
26-DEC-2023,47576.4,47838.45,47411.65,47724.85,118747478,6180.81
27-DEC-2023,47818.5,48347.65,47806.7,48282.2,184934337,7976.75
28-DEC-2023,48479.05,48636.45,48343.15,48508.55,391088458,14240.16
29-DEC-2023,48374.85,48477.7,48091.85,48292.25,173986713,7476.67
01-JAN-2024,48203.45,48450.0,48044.15,48234.3,146861652,4959.89
02-JAN-2024,48194.8,48223.55,47689.8,47761.65,183177683,8751.01
03-JAN-2024,47796.3,47798.75,47481.35,47704.95,233345158,9832.53
04-JAN-2024,47805.4,48281.2,47738.15,48195.85,175744981,9718.17
05-JAN-2024,48245.55,48381.95,47822.85,48159.0,180954626,9834.28
08-JAN-2024,48096.65,48154.5,47387.35,47450.25,231436501,9469.54
09-JAN-2024,47705.4,47939.3,47156.05,47242.65,160987383,7934.05
10-JAN-2024,47073.85,47423.45,47010.8,47360.85,165160645,6969.8
11-JAN-2024,47538.6,47662.1,47237.0,47438.35,132519875,5966.43
12-JAN-2024,47572.7,47873.7,47408.5,47709.8,191640544,7146.18
15-JAN-2024,47891.05,48248.05,47825.4,48158.3,167053734,8548.16
16-JAN-2024,48109.95,48305.4,48002.85,48125.1,224460146,8140.38
17-JAN-2024,46573.95,47212.75,45979.6,46064.45,499645242,29225.38
18-JAN-2024,45492.75,46184.05,45430.7,45713.55,275044049,19277.92
19-JAN-2024,46103.5,46249.85,45558.05,45701.15,296609385,17405.47
20-JAN-2024,45989.25,46183.7,45640.9,46058.2,157202694,7004.79
23-JAN-2024,46495.45,46580.3,44886.1,45015.05,422624502,23485.75
24-JAN-2024,44489.4,45485.5,44489.4,45082.4,348696634,17822.46
25-JAN-2024,45057.95,45139.05,44429.0,44866.15,386805113,19114.35
29-JAN-2024,45171.5,45660.35,45110.9,45442.35,336781672,14163.2
30-JAN-2024,45481.5,45678.7,45206.05,45367.75,232110117,10108.33
31-JAN-2024,45295.65,46179.75,45071.2,45996.8,373131629,16491.11
01-FEB-2024,46164.9,46306.9,45668.35,46188.65,305721773,10681.78
02-FEB-2024,46568.2,46892.35,45901.25,45970.95,337040622,12743.15
05-FEB-2024,45962.25,46048.6,45615.1,45825.55,265909716,11202.01
06-FEB-2024,45891.2,45932.15,45527.0,45690.8,178592534,9115.56
07-FEB-2024,45944.6,46062.85,45620.5,45818.5,283674776,13737.11
08-FEB-2024,45973.85,46181.2,44893.75,45012.0,319908560,17193.25
09-FEB-2024,44986.75,45718.15,44859.15,45634.55,275980366,13111.21
12-FEB-2024,45664.3,45748.5,44633.85,44882.25,268816417,10317.6
13-FEB-2024,45056.8,45750.4,44819.55,45502.4,245860544,12243.15
14-FEB-2024,45014.65,46170.45,44860.75,45908.3,279949703,16369.67
15-FEB-2024,46027.1,46297.7,45590.2,46218.9,277735723,11616.29
16-FEB-2024,46454.3,46693.4,46264.4,46384.85,291383103,10101.23
19-FEB-2024,46554.9,46717.4,46317.7,46535.5,158391356,8048.39
20-FEB-2024,46444.9,47136.75,46367.8,47094.2,171886069,10520.32
21-FEB-2024,47363.4,47363.4,46886.95,47019.7,198947007,11151.61
22-FEB-2024,46934.55,47024.05,46426.85,46919.8,177182875,11307.92
23-FEB-2024,47060.7,47245.35,46723.15,46811.75,200518213,8632.88
26-FEB-2024,46615.85,46893.15,46513.55,46576.5,223684075,8008.66
27-FEB-2024,46480.2,46722.25,46324.9,46588.05,157256037,7924.81
28-FEB-2024,46640.9,46754.55,45852.55,45963.15,167271103,6980.13
29-FEB-2024,45881.45,46329.65,45661.75,46120.9,544734727,16455.05
01-MAR-2024,46218.0,47342.25,46218.0,47286.9,172519003,8587.25
02-MAR-2024,47377.45,47433.85,47237.0,47297.5,12241084,495.48
04-MAR-2024,47318.5,47529.6,47191.65,47456.1,158086247,7795.84
05-MAR-2024,47265.7,47737.85,47196.75,47581.0,176908608,8513.12
06-MAR-2024,47451.65,48161.25,47442.25,47965.4,301719696,14489.87
07-MAR-2024,48035.8,48071.7,47747.2,47835.8,146312130,8873.38
11-MAR-2024,47792.2,47853.8,47230.65,47327.85,204168522,10257.14
12-MAR-2024,47351.35,47812.75,46884.45,47282.4,207215490,13545.13
13-MAR-2024,47341.15,47468.7,46842.15,46981.3,274610911,14793.18
14-MAR-2024,46825.75,47231.5,46565.55,46789.95,220394655,11310.48
15-MAR-2024,46572.1,46802.55,46310.5,46594.1,339276817,26718.21
18-MAR-2024,46458.75,46739.25,46022.15,46575.9,151328904,6888.3
19-MAR-2024,46421.9,46602.35,46258.75,46384.8,147080034,8734.12
20-MAR-2024,46392.9,46655.55,45828.8,46310.9,210365443,11766.43
21-MAR-2024,46674.85,46990.25,46570.15,46684.9,150392246,8896.96
22-MAR-2024,46634.9,46974.15,46566.8,46863.75,172184807,10851.42
26-MAR-2024,46552.95,46788.35,46529.05,46600.2,171655734,11171.03
27-MAR-2024,46643.45,46956.1,46643.45,46785.95,285050400,16539.74
28-MAR-2024,46827.85,47440.45,46827.85,47124.6,347979603,13594.54
01-APR-2024,47391.05,47646.8,47373.1,47578.25,134089417,6573.0
02-APR-2024,47490.75,47707.35,47408.55,47545.45,183398624,10412.26
03-APR-2024,47350.25,47676.95,47279.8,47624.25,283779413,13792.53
04-APR-2024,48086.2,48254.65,47712.7,48060.8,324271925,18895.59
05-APR-2024,48104.65,48557.4,47894.5,48493.05,214305236,11909.32
08-APR-2024,48586.75,48716.95,48424.65,48581.7,263381555,7900.46
09-APR-2024,48810.8,48960.75,48568.25,48730.55,147583296,7024.79
10-APR-2024,48879.55,49057.4,48669.25,48986.6,247065747,9611.82
12-APR-2024,48671.2,48882.65,48477.55,48564.55,207985339,10643.84
15-APR-2024,48057.5,48255.5,47725.8,47773.25,197115142,7882.76
16-APR-2024,47436.7,47609.0,47316.55,47484.8,186069576,7841.45
18-APR-2024,47592.7,47829.75,46982.15,47069.45,186371057,10326.12
19-APR-2024,46744.95,47668.7,46579.05,47574.15,164580371,9513.25
22-APR-2024,48145.7,48146.3,47628.45,47924.9,177719481,9898.66
23-APR-2024,48299.6,48302.7,47899.3,47970.45,141110604,7677.26
24-APR-2024,48120.9,48246.2,48028.7,48189.0,112159300,5867.57
25-APR-2024,47772.65,48625.45,47737.2,48494.95,337412581,27018.59
26-APR-2024,48660.0,48679.65,48088.25,48201.05,208118242,12146.84
29-APR-2024,48359.9,49473.6,48342.7,49424.05,327134115,15966.76
30-APR-2024,49477.1,49974.75,49249.9,49396.75,402874252,20351.02
02-MAY-2024,49262.0,49529.35,49123.6,49231.05,291857104,16230.32
03-MAY-2024,49375.05,49607.75,48659.7,48923.55,222964426,12837.75
06-MAY-2024,49174.55,49252.65,48784.0,48895.3,340187386,15200.24
07-MAY-2024,48965.05,49023.5,48213.75,48285.35,230306618,10179.38
08-MAY-2024,48124.2,48223.05,47851.15,48021.1,286041100,13795.53
09-MAY-2024,47976.35,48258.65,47440.65,47487.9,272914366,13331.32
10-MAY-2024,47555.5,47868.7,47313.35,47421.1,218854712,10013.36
13-MAY-2024,47389.8,47841.6,46983.25,47754.1,220865860,8760.91
14-MAY-2024,47748.85,47937.25,47607.85,47859.45,151958187,6712.08
15-MAY-2024,47923.1,47957.2,47534.5,47687.45,188783717,8763.34
16-MAY-2024,47945.85,48052.9,47340.35,47977.05,219943967,11108.34
17-MAY-2024,47842.95,48188.65,47758.8,48115.65,143821357,8123.45
18-MAY-2024,48197.3,48222.35,48108.15,48199.5,19246577,541.44
21-MAY-2024,47927.1,48259.75,47927.1,48048.2,166750558,9490.0
22-MAY-2024,48113.9,48114.05,47435.25,47781.95,204867369,11396.04
23-MAY-2024,47899.35,48829.7,47873.15,48768.6,184456258,11162.27
24-MAY-2024,48668.0,49052.95,48644.8,48971.65,135007612,7585.0
27-MAY-2024,49105.9,49688.85,49051.25,49281.8,226530645,9390.6
28-MAY-2024,49390.9,49511.15,49043.65,49142.15,155174235,7545.21
29-MAY-2024,48786.7,49022.6,48401.55,48501.35,183590101,10459.0
30-MAY-2024,48313.6,49044.6,48313.6,48682.35,151037825,9375.71
31-MAY-2024,48895.15,49122.55,48569.05,48983.95,303626980,18069.59
